model,test_mae,test_mse,test_r2
linear,5.526039843809708,74.80818757577539,0.18782922422751136
random_forest,5.053785509805901,67.36117495059176,0.268679278439244
gradient_boost,4.928164899964253,64.90427188417748,0.2953531617949432
